Status,#,Vessel name,IMO,Departure port,Country,Commodity,Metric tons,Departure date,Inspection cleared,Income group,Flag,World Bank region,UN region,Development category
Outbound,610,SEYMA,9596777,Yuzhny/Pivdennyi,United Kingdom,Sunflower oil,"5,915",30-Dec-2022,6-Jan-2023,high-income,Malta,Europe & Central Asia,Western Europe and Others,developed
Outbound,611,POPI S,9527233,Chornomorsk,Belgium,Corn,"62,430",31-Dec-2022,,high-income,Liberia,Europe & Central Asia,Western Europe and Others,developed
Outbound,612,WHITE FIN,9607291,Odesa,China,Corn,"52,700",31-Dec-2022,,upper-middle-income,Malta,East Asia & Pacific,Asia-Pacific,developing
Outbound,613,CHRYSSA K,9595852,Yuzhny/Pivdennyi,China,Corn,"69,170",1-Jan-2023,,upper-middle-income,Liberia,East Asia & Pacific,Asia-Pacific,developing
Outbound,614,GAT FEELING,9467615,Chornomorsk,Spain,Wheat,"31,600",1-Jan-2023,8-Jan-2023,high-income,Marshall Islands,Europe & Central Asia,Western Europe and Others,developed
Outbound,615,HONORINE,9146874,Odesa,Tunisia,Corn,"27,500",1-Jan-2023,,lower-middle income,Malta,Middle East & North Africa,Africa,developing
Outbound,616,PANTHER MAX,9593402,Yuzhny/Pivdennyi,Israel,Corn,"68,390",1-Jan-2023,,high-income,Bahamas,Middle East & North Africa,Western Europe and Others,developed
Outbound,617,XIN SHUN,9252199,Odesa,The Netherlands,Soya beans,"46,700",1-Jan-2023,8-Jan-2023,high-income,Panama,Europe & Central Asia,Western Europe and Others,developed
Outbound +,617,XIN SHUN,9252199,Odesa,The Netherlands,Sunflower seed,"10,600",1-Jan-2023,8-Jan-2023,high-income,Panama,Europe & Central Asia,Western Europe and Others,developed
Outbound,618,SELIN D,9221786,Odesa,Türkiye,Sunflower oil,"6,000",2-Jan-2023,,upper-middle-income,Malta,Europe & Central Asia,Asia-Pacific,developing
Outbound,619,SUPER ODEGAARD,9479046,Chornomorsk,China,Sunflower meal,"35,000",3-Jan-2023,,upper-middle-income,Panama,East Asia & Pacific,Asia-Pacific,developing
Outbound,620,VELVET,9826433,Odesa,Bangladesh,Wheat,"57,000",3-Jan-2023,,lower-middle income,Liberia,South Asia,Asia-Pacific,developing
Outbound,621,MONA KH,9187708,Yuzhny/Pivdennyi,China,Corn,"44,670",4-Jan-2023,,upper-middle-income,Panama,East Asia & Pacific,Asia-Pacific,developing
Outbound +,621,MONA KH,9187708,Yuzhny/Pivdennyi,China,Sunflower meal,"18,000",4-Jan-2023,,upper-middle-income,Panama,East Asia & Pacific,Asia-Pacific,developing
Outbound,622,PRESIGNE,9715452,Yuzhny/Pivdennyi,China,Corn,"70,514",4-Jan-2023,,upper-middle-income,Marshall Islands,East Asia & Pacific,Asia-Pacific,developing
Outbound,623,SHEN YU 79,9228069,Chornomorsk,China,Corn,"64,667",4-Jan-2023,,upper-middle-income,Liberia,East Asia & Pacific,Asia-Pacific,developing
Outbound,624,MAHA TANAYA,9591181,Chornomorsk,China,Corn,"69,145",5-Jan-2023,,upper-middle-income,India,East Asia & Pacific,Asia-Pacific,developing
Outbound,625,SAADET C,9549267,Chornomorsk,Spain,Soya beans,"21,100",5-Jan-2023,,high-income,Panama,Europe & Central Asia,Western Europe and Others,developed
Outbound,626,STAR GALAXY,9728908,Yuzhny/Pivdennyi,China,Corn,"66,500",5-Jan-2023,,upper-middle-income,Bahamas,East Asia & Pacific,Asia-Pacific,developing
Outbound,627,LADY DIVINA,9354052,Chornomorsk,Italy,Wheat,"18,300",6-Jan-2023,,high-income,Barbados,Europe & Central Asia,Western Europe and Others,developed
Outbound,628,MED ISLAND,9322748,Odesa,Italy,Corn,"27,000",6-Jan-2023,,high-income,Malta,Europe & Central Asia,Western Europe and Others,developed
Outbound,629,MENTOR,9340374,Yuzhny/Pivdennyi,Spain,Sunflower oil,"12,200",7-Jan-2023,,high-income,Marshall Islands,Europe & Central Asia,Western Europe and Others,developed
Outbound,630,BOMUSTAFA O,9114476,Chornomorsk,United Kingdom,Sunflower seed,"12,500",8-Jan-2023,,high-income,Panama,Europe & Central Asia,Western Europe and Others,developed
Outbound,631,LEO I,9231561,Odesa,Sri Lanka,Wheat,"49,500",8-Jan-2023,,lower-middle income,Panama,South Asia,Asia-Pacific,developing
Outbound,632,MKK 1,8902929,Yuzhny/Pivdennyi,Türkiye,Peas,"13,000",8-Jan-2023,,upper-middle-income,Palau,Europe & Central Asia,Asia-Pacific,developing
Outbound,633,TRUE HARMONY,9470789,Odesa,Egypt,Corn,"25,900",8-Jan-2023,,lower-middle income,Barbados,Middle East & North Africa,Africa,developing
